# D2 Prefixy (z Diablo Archive fandom, formát: Affix | Attributes | Item Type(lvl))
# Barva: #FFFF00 = rare, #4850B8 = magic
# lvl = minimální ilvl, na kterém affix může padnout
# Zpracováno 2026-08-20, pokračovat v nové session

## 1. Attack Rating
Bronze | +2-12 AR | Small Charms(1)
Tangerine | Lightning Res +4-7% | Large Charms(1)
Tangerine | Lightning Res +5-10% | Amulets(1-5), Armor(1-5), Circlets(1-5), Orbs(1-5), Rings(1-5), Weapons(5)
Tangerine | Lightning Res +7-15% | Grand Charms(1)
Ocher | Lightning Res +6-7% | Small Charms(14)
Ocher | Lightning Res +8-10% | Large Charms(16)
Ocher | Lightning Res +11-20% | Amulets(12), Armor(12), Circlets(12), Orbs(12), Rings(12), Weapons(35)
Ocher | Lightning Res +16-20% | Grand Charms(10)
Coral | Lightning Res +8-9% | Small Charms(27)
Coral | Lightning Res +11-12% | Large Charms(25)
Coral | Lightning Res +21-25% | Grand Charms(20)
Coral | Lightning Res +21-30% | Amulets(18), Armor(18), Circlets(18), Orbs(18), Rings(18), Weapons(55)
Amber | Lightning Res +10-11% | Small Charms(40)
Amber | Lightning Res +13-15% | Large Charms(35)
Amber | Lightning Res +26-30% | Grand Charms(30)
Amber | Lightning Res +31-40% | Amulets(25), Boots(25), Circlets(25), Orbs(25), Rods(25)
Camphor | Lightning Res +5-15% | Jewels(2)
Ambergris | Lightning Res +16-30% | Jewels(19)

## 12d. +Poison Resistance
Beryl | Poison Res +3-5% | Small Charms(1)
Beryl | Poison Res +4-7% | Large Charms(1)
Beryl | Poison Res +5-10% | Amulets(1-5), Armor(1-5), Circlets(1-5), Orbs(1-5), Rings(1-5), Weapons(5)
Beryl | Poison Res +5-15% | Jewels(2)
Beryl | Poison Res +7-15% | Grand Charms(1)
Viridian | Poison Res +6-7% | Small Charms(14)
Viridian | Poison Res +8-10% | Large Charms(16)
Viridian | Poison Res +11-20% | Amulets(12), Armor(12), Circlets(12), Orbs(12), Rings(12), Weapons(35)
Viridian | Poison Res +16-20% | Grand Charms(10)
Jade | Poison Res +8-9% | Small Charms(27)
Jade | Poison Res +11-12% | Large Charms(25)
Jade | Poison Res +16-30% | Jewels(19)
Jade | Poison Res +21-25% | Grand Charms(20)
Jade | Poison Res +21-30% | Amulets(18), Armor(18), Circlets(18), Orbs(18), Rings(18), Weapons(55)
Emerald | Poison Res +10-11% | Small Charms(40)
Emerald | Poison Res +13-15% | Large Charms(35)
Emerald | Poison Res +26-30% | Grand Charms(30)
Emerald | Poison Res +31-40% | Amulets(25), Boots(25), Circlets(25), Orbs(25), Rods(25)

## 13. Enhanced Damage
Jagged | 10-20% ED | Circlets(1), Weapons(1)
Deadly | 21-30% ED | Circlets(5), Weapons(5)
Vicious | 31-40% ED | Weapons(8)
Brutal | 41-50% ED | Weapons(14)
Massive | 51-65% ED | Weapons(20)
Savage | 66-80% ED | Weapons(26)
Merciless | 81-100% ED | Weapons(32)
Ferocious | 101-200% ED | Weapons(41)
Cruel | 201-300% ED | Weapons(51,56)
Cinnabar | 5-10% ED | Jewels(1)
Rusty | 11-20% ED | Jewels(13)
Realgar | 21-30% ED | Jewels(45)
Ruby | 31-40% ED | Jewels(66)

## 14. +Maximum Damage
Jagged | +1 Max Dmg | Grand Charms(7), Large Charms(22), Small Charms(81)
Forked | +2 Max Dmg | Grand Charms(37), Large Charms(52)
Serrated | +3 Max Dmg | Grand Charms(67)
Carbuncle | +1-5 Max Dmg | Jewels(12)
Carmine | +6-9 Max Dmg | Jewels(35)
Vermilion | +11-15 Max Dmg | Jewels(58)
Grinding | +0.75/lvl (0.75-74.25 Max Dmg) | Weapons(50)

## 15. +Minimum Damage
Red | +1 Min Dmg | Grand Charms(15), Large Charms(30), Small Charms(90)
Sanguinary | +2 Min Dmg | Grand Charms(45), Large Charms(60)
Bloody | +3 Min Dmg | Grand Charms(75)
Scarlet | +1-4 Min Dmg | Jewels(8)
Crimson | +5-8 Min Dmg | Jewels(38)

## 16. Quantity (throwing)
Compact | +20-40 Quantity | Throwing Weapons(1) [rare]
Thin | +41-80 Quantity | Throwing Weapons(17) [rare]
Dense | +81-120 Quantity | Throwing Weapons(38) [rare]

## 17. Light Radius
Bright | +1 Light Radius; +10 AR | Jewels(1) [rare]
Glimmering | +1 Light Radius | Amulets(1), Armor(1), Orbs(1), Rings(1), Staves(1), Wands(1) [rare]
Glowing | +2 Light Radius | Amulets(6), Armor(6), Orbs(6), Rings(6), Staves(6), Wands(6) [rare]

## 18. Magic Find
Lucky | 1-6% MF | Large Charms(34,51,53) [magic]
Lucky | 1-12% MF | Grand Charms(21,38,55) [magic]
Emerald | 3-7% MF | Jewels(16) [rare]
Felicitous | 5-10% MF | Amulets(5), Circlets(5), Rings(5) [rare]
Fortuitous | 11-15% MF | Amulets(12), Circlets(12), Rings(12) [magic]

## 19. +Mana
Lizard's | +1-5 Mana | Amulets(1-3), Armor(1-3), Orbs(1-3), Rings(1-3), Rods(1-3)
Lizard's | +1-7 Mana | Small Charms(16)
Lizard's | +2-12 Mana | Large Charms(1,9,17)
Lizard's | +3-20 Mana | Grand Charms(1,7,13)
Snake's | +6-10 Mana | Amulets(6), Belts(6), Circlets(6), Rings(6), Rods(6), Shields(6)
Snake's | +8-12 Mana | Small Charms(32)
Snake's | +13-23 Mana | Large Charms(25,33)
Snake's | +21-39 Mana | Grand Charms(19,25,31)
Serpent's | +11-20 Mana | Amulets(14), Belts(14), Circlets(14), Rings(14), Rods(14), Shields(14), Body Armor(37), Boots(37), Gloves(37), Orbs(37), Weapons(37)
Serpent's | +13-17 Mana | Small Charms(48)
Serpent's | +24-34 Mana | Large Charms(41,49)
Serpent's | +40-59 Mana | Grand Charms(37,43,49)
Drake's | +21-30 Mana | Amulets(20), Belts(20), Circlets(20), Orbs(20), Rings(20), Rods(20)
Dragon's | +31-40 Mana | Amulets(24), Circlets(24), Orbs(24), Rings(24), Rods(24), Body Armor(52), Boots(52), Gloves(52)
Wyrm's | +41-60 Mana | Amulets(30), Circlets(30), Orbs(30), Rings(30), Rods(30)
Great Wyrm's | +61-90 Mana | Amulets(37), Circlets(37), Orbs(37), Rings(37), Rods(37)
Bahamut's | +91-120 Mana | Amulets(45), Circlets(45), Orbs(45), Rings(45), Rods(45)
Zircon | +5-10 Mana | Jewels(3)
Jacinth | +11-15 Mana | Jewels(17)
Turquoise | +16-20 Mana | Jewels(29)
Mnemonic | +0.75/lvl (0.75-74.25 Mana) | Helms(25)

## 20. Mana Gain
Dun | 7-12% Dmg Taken Goes to Mana | Jewels(7)
Vulpine | 7-12% Dmg Taken Goes to Mana | Amulets(9), Orbs(9), Shields(9), Staves(9)
Triumphant | +1 Mana After Each Kill | Circlets(3), Rings(3), Weapons(3)
Aureolic | +1-3 Mana After Each Kill | Jewels(22)
Victorious | +2-5 Mana After Each Kill | Circlets(17), Weapons(17)
