# D2 Suffixy (z Diablo Archive fandom, formát: Affix | Attributes | Item Type(lvl))
# Barva: rare = rare+magic, magic = jen magic


Piercing | Ignores Target's Defense | Daggers(25), Katars(25), Rods(25) | [rare]
Carnage | +11-15 to Maximum Damage | Jewels(25) | [magic]
Slaughter | +15-20 to Maximum Damage | Weapons(25) | [rare]
Butchery | +21-40 to Maximum Damage | Weapons(35) | [magic]
Evisceration | +41-63 to Maximum Damage | Weapons(45) | [magic]
Worth | +1-3 to Minimum Damage | Weapons(1[1-2]), Amulets(15[2-3]), Circlets(15[2-3]), Rings(15[2-3]) | [rare]
Joyfulness | +1-4 to Minimum Damage | Jewels(5) | [rare]
Measure | +3-5 to Minimum Damage | Weapons(12[3-4]), Amulets(37[4-5]), Circlets(37[4-5]), Rings(37[4-5]) | [rare]
Excellence | +5-9 to Minimum Damage | Weapons(24[5-8]), Amulets(59[6-9]), Circlets(59[6-9]), Rings(59[6-9]) | [rare]
Bliss | +5-10 to Minimum Damage | Jewels(43) | [rare]
Performance | +9-14 to Minimum Damage | Weapons(48), Amulets(81[10-13]), Circlets(81[10-13]), Rings(81[10-13]) | [magic]
Transcendence | +15-20 to Minimum Damage | Weapons(76) | [rare]
Inertia | 3% Faster Run/Walk | Small Charms(35) | [magic]
Inertia | 5% Faster Run/Walk | Large Charms(24) | [magic]
Inertia | 7% Faster Run/Walk | Grand Charms(19) | [magic]
Pacing | 10% Faster Run/Walk | Boots(12), Circlets(12) | [rare]
Haste | 20% Faster Run/Walk | Boots(22), Circlets(22) | [rare]
Speed | 30% Faster Run/Walk | Boots(37), Circlets(37) | [rare]
Transportation | 30% Faster Run/Walk, 80-90% Slower Stamina Drain | Boots(65) | [magic]
Acceleration | 40% Faster Run/Walk | Boots(51) | [magic]
Avarice | 10-30% Extra Gold From Monsters | Jewels(1) | [rare]
Greed | 5-10% Extra Gold From Monsters | Small Charms(1) | [magic]
Greed | 5-22% Extra Gold From Monsters | Large Charms(1[5-10];20[11-22]) | [magic]
Greed | 10-40% Extra Gold From Monsters | Grand Charms(1[10-20];7[21-30];19[31-40]) | [magic]
Greed | 25-40% Extra Gold From Monsters | Amulets(1), Circlets(1), Rings(1) | [rare]
Wealth | 41-80% Extra Gold From Monsters | Amulets(17), Belts(17), Boots(17), Circlets(17), Gloves(17) | [rare]
Fortune | 3-5% Better Chance of Getting Magic Items | Small Charms(31) | [magic]
Good Luck | 6-7% Better Chance of Getting Magic Items | Small Charms(47) | [magic]
Prosperity | 5-10% Better Chance of Getting Magic Items | Jewels(26) | [rare]
Chance | 5-15% Better Chance of Getting Magic Items | Amulets(12), Boots(12), Circlets(12), Gloves(12), Rings(12) | [rare]
Fortune | 16-25% Better Chance of Getting Magic Items | Amulets(16), Boots(16), Circlets(16), Gloves(16), Rings(42) | [rare]
Luck | 26-35% Better Chance of Getting Magic Items | Amulets(26), Boots(26), Circlets(26) | [magic]
Leech | 2-5% Life Stolen per Hit | Weapons(6[4-5]), Circlets(14[3-4]), Rings(14[3-4]), Amulets(24[2-3]), Gloves(34[3]) | [rare]
Locust | 4-7% Life Stolen per Hit | Melee Weapons(20[6-7]), Circlets(47[5-6]), Rings(47[5-6]), Amulets(57[4-5]) | [rare]
Lamprey | 6-9% Life Stolen per Hit | Melee Weapons(56[8-9]), Circlets(78[7-8]), Rings(78[7-8]), Amulets(85[6]) | [rare]
Bat | 2-5% Mana Stolen per Hit | Weapons(7[4-5]), Amulets(15[3-4]), Circlets(15[3-4]), Rings(25[2-3]), Gloves(35[3]) | [rare]
Wraith | 4-7% Mana Stolen per Hit | Melee Weapons(21[6-7]), Amulets(58[5-6]), Circlets(58[5-6]), Rings(58[4-5]) | [rare]
Vampire | 6-9% Mana Stolen per Hit | Melee Weapons(56[8-9]), Amulets(78[7-8]), Circlets(78[7-8]), Rings(86[6]) | [rare]
Honor | Replenish Life +1-4 | Jewels(47) | [rare]
Regeneration | Replenish Life +3-5 | Amulets(1-9[2];10[3-5]), Circlets(1-9[2];10[3-5]), Belts(10), Rings(10), Scepters(10), Shields(40), Gloves(40), Body Armor(70) | [rare]
Regrowth | Replenish Life +6-10 | Amulets(17), Circlets(17), Scepters(17), Belts(55[6-9]), Rings(55[6-9]) | [rare]
Revivification | Replenish Life +11-15 | Amulets(38), Circlets(38), Scepters(38) | [magic]
Light | +1 to Light Radius, +10-15 to Attack Rating | Amulets(1-5[10AR];6[15AR]), Rings(1-5[10AR];6[15AR]), Body Armor(6[15AR]), Rods(6[15AR]) | [rare]
Radiance | +3 to Light Radius, +30 to Attack Rating | Amulets(15), Bows(15), Crossbows(15), Helms(15), Rings(15), Rods(15) | [rare]
Sun | +5 to Light Radius, 5% Bonus to Attack Rating | Amulets(17), Bows(17), Crossbows(17), Gloves(17), Helms(17), Rings(17), Rods(17) | [rare]
Freedom | Requirements -15% | Jewels(1) | [rare]
Ease | Requirements -20% | Body Armor(15), Shields(15), Weapons(15) | [rare]
Simplicity | Requirements -30% | Body Armor(25), Shields(25), Weapons(25) | [rare]
Fire Bolts | Chance to Cast Fire Bolt | Melee and Throwing Weapons(6[5% on Attack, Level 3]; 16[10% on Striking, Level 8]; 20[10% on Attack, Level 4]) | [rare]
Charged Bolt | Chance to Cast Charged Bolt when Struck | Amulets(6[10%, Level 3]; 16[12%, Level 4]; 26[14%, Level5]), Armor(6[10%, Level 3]; 16[12%, Level 4]; 26[14%, Level5]), Rings(6[10%, Level 3]; 16[12%, Level 4]; 26[14%, Level5]) | [rare]
Ice Bolt | 5% Chance to Cast Level 3 Ice Bolt on Attack | Melee and Throwing Weapons(6) | [rare]
Frost Shield | 5% Chance to Cast Level 3 Frost Nova when Struck | Amulets(12), Armor(12) | [rare]
Nova | Chance to Cast Nova on Striking | Melee and Throwing Weapons(18[10%, Level 3]; 28[12%, Level 4]) | [rare]
Nova Shield | Chance to Cast Nova when Struck | Armor(18[10%, Level 3]; 28[12%, Level 4]; 38[14%, Level5]), Rings(18[10%, Level 3]; 28[12%, Level 4]; 38[14%, Level5]) | [rare]
Lightning | 5% Chance to Cast Level 3 Lightning on Attack | Melee and Throwing Weapons(18) | [rare]
Chain Lightning | Chance to Cast Chain Lightning on Attack | Amulets(25[5%, Level 3]; 35[8%, Level 3]; 45[8%, Level 5]), Rings(25[5%, Level 3]; 35[8%, Level 3]; 45[8%, Level 5]), Melee and Throwing Weapons(25[5%, Level 3]; 35[8%, Level 3]; 45[8%, Level 5]) | [rare]
Hydra Shield | 10% Chance to Cast Level 3 Hydra when Struck | Amulets(40) | [rare]
Amplify Damage | 10% Chance to Cast Level 1 Amplify Damage on Striking | Weapons(3)-Cannot Spawn on Orbs | [rare]
Thawing | Half Freeze Duration | Amulets(10), Boots(10), Circlets(10), Gloves(10), Orbs(10), Rings(10), Shields(10) | [rare]
Remedy | Poison Length Reduced by 25% | Amulets(7), Armor(7), Boots(7), Circlets(7), Rings(7) | [rare]
Amelioration | Poison Length Reduced by 50% | Amulets(18), Body Armor(18), Circlets(18), Shields(18) | [rare]
Defiance | Poison Length Reduced by 75% | Amulets(25), Body Armor(25), Circlets(25), Shields(25) | [rare]
Dexterity | +1-2 to Dexterity | Small Charms(7[1];22[2]) | [magic]
Dexterity | +1-3 to Dexterity | Amulets(2[1-2]), Bows(2[1-2]), Circlets(2[1-2]), Crossbows(2[1-2]), Gloves(1-12[1];6[1-2]), Rings(1-5[1];6[1-2]), Body Armor(13[2-3]), Boots(1-12[1];13[2-3]) | [rare]
Dexterity | +2-5 to Dexterity | Large Charms(3[2-3];18[4-5]) | [magic]
Dexterity | +3-6 to Dexterity | Grand Charms(1[3-4];14[5-6]) | [magic]
Daring | +1-9 to Dexterity | Jewels(7[1-3];19[4-6];36[7-9]) | [rare]
Skill | +3-5 to Dexterity | Amulets(11), Bows(11), Circlets(11), Crossbows(11), Gloves(22), Rings(22), Body Armor(34[4-5]), Boots(34[4-5]) | [rare]
Accuracy | +6-9 to Dexterity | Amulets(27), Bows(27), Circlets(27), Crossbows(27), Gloves(39), Rings(39), Body Armor(46), Boots(46) | [rare]
Precision | +10-15 to Dexterity | Amulets(43), Bows(43), Circlets(43), Crossbows(43), Gloves(56), Rings(56), Body Armor(60), Boots(60) | [rare]
Perfection | +16-20 to Dexterity | Amulets(59), Bows(59), Circlets(59), Crossbows(59), Gloves(75), Rings(75) | [rare]
Nirvana | +21-30 to Dexterity | Amulets(72), Bows(72), Circlets(72), Crossbows(72) | [magic]
Energy | +1-3 to Energy | Amulets(1), Circlets(1), Orbs(1), Staves(1), Wands(1), Helms(1-4[1];4[1-3]), Scepters(4), Rings(1-4[1];7[1-3]) | [rare]
Knowledge | +1-9 to Energy | Jewels(9[1-5];24[4-6];41[7-9]) | [rare]
Mind | +4-6 to Energy | Amulets(7), Circlets(7), Orbs(7), Staves(7), Wands(7), Helms(10), Scepters(10), Rings(13) | [rare]
Brilliance | +7-10 to Energy | Amulets(13), Circlets(13), Orbs(13), Staves(13), Wands(13), Helms(16), Scepters(16), Rings(21) | [rare]
Sorcery | +11-15 to Energy | Amulets(21), Circlets(21), Orbs(21), Staves(21), Wands(21), Helms(26), Scepters(26), Rings(31) | [rare]
Wizardry | +16-20 to Energy | Amulets(31), Circlets(31), Orbs(31), Staves(31), Wands(31), Rings(41) | [rare]
Enlightenment | +21-30 to Energy | Amulets(41), Circlets(41), Orbs(41), Staves(41), Wands(41) | [magic]
Jackal | +1-5 to Life | Amulets(1), Barbarian Helms(1), Belts(1), Body Armor(1), Circlets(1), Druid Pelts(4), Shields(4), Clubs(8), Hammers(8), Helms(8), Maces(8), Rings(8) | [rare]
Spirit | +3-8 to Life | Jewels(1) | [rare]
Fox | +6-10 to Life | Amulets(7), Barbarian Helms(7), Belts(7), Body Armor(7), Circlets(7), Druid Pelts(11), Shields(11), Clubs(17), Hammers(17), Helms(17), Maces(17), Rings(17) | [rare]
Hope | +9-20 to Life | Jewels(45) | [magic]
Wolf | +11-20 to Life | Amulets(15), Barbarian Helms(15), Belts(15), Body Armor(15), Circlets(15), Druid Pelts(27), Shields(27), Clubs(34), Hammers(34), Helms(34), Maces(34), Rings(34) | [rare]
Tiger | +21-30 to Life | Amulets(20), Barbarian Helms(20), Belts(20), Body Armor(20), Circlets(20), Druid Pelts(43), Shields(43), Clubs(51), Hammers(51), Helms(51), Maces(51), Rings(51) | [rare]
Mammoth | +31-40 to Life | Amulets(25), Barbarian Helms(25), Belts(25), Body Armor(25), Circlets(25), Druid Pelts(59), Shields(59), Clubs(68), Hammers(68), Helms(68), Maces(68), Rings(68) | [rare]
Colossus | +41-60 to Life | Amulets(30), Barbarian Helms(30), Belts(30), Body Armor(30), Circlets(30), Druid Pelts(75), Shields(75) | [rare]
Squid | +61-80 to Life | Amulets(40), Barbarian Helms(40), Belts(40), Body Armor(40), Circlets(40) | [magic]
Whale | +81-100 to Life | Amulets(50), Barbarian Helms(50), Belts(50), Body Armor(50), Circlets(50) | [magic]
Centaur | (+0.75 per Character Level) 0.75-74.25 to Life (Based on Character Level) | Amulets(20), Barbarian Helms(20), Body Armor(20), Druid Pelts(20) | [magic]
Life | +5-10 to Life | Small Charms(1) | [magic]
Life | +6-15 to Life | Large Charms(1[6-10];12[11-15]) | [magic]
Life | +5-20 to Life | Grand Charms(1[5-10];9[11-15];19[16-20]) | [magic]
Sustenance | +11-15 to Life | Small Charms(23) | [magic]
Sustenance | +16-25 to Life | Large Charms(26[16-20];42[21-25]) | [magic]
Sustenance | +21-35 to Life | Grand Charms(31[21-25];45[26-30];61[31-35]) | [magic]
Vita | +16-20 to Life | Small Charms(47) | [magic]
Vita | +26-35 to Life | Large Charms(58[26-30];74[31-35]) | [magic]
Vita | +36-45 to Life | Grand Charms(77[36-40];91[41-45]) | [magic]
Elephant | (+0.5 per Character Level) 0.5-49.5 to Life and (+0.25 per Character Level) 0.25-24.75 to Mana (Based on Character Level) | Circlets(37), Druid Pelts(37) | [magic]
Memory | (+0.75 per Character Level) 0.75-74.25 to Mana (Based on Character Level) | Amulets(20), Circlets(20), Druid Pelts(20) | [magic]
Strength | +1-2 to Strength | Amulets(1), Belts(1), Circlets(1), Clubs(1), Hammers(1), Rings(1-4[1];5[1-2]), Body Armor(5), Maces(5), Scepters(5), Gloves(1-11[1];12[1-2]), Melee Weapons(12), Shields(12), Small Charms(7[1];22[2]) | [rare]
Strength | +2-5 to Strength | Large Charms(3[2-3];18[4-5]) | [magic]
Strength | +3-6 to Strength | Grand Charms(1[3-4];14[5-6]) | [magic]
Virility | +1-9 to Strength | Jewels(18[1-4];33[5-6];50[7-9]) | [rare]
Might | +3-5 to Strength | Amulets(10), Belts(10), Circlets(10), Clubs(10), Hammers(10), Body Armor(21), Maces(21), Rings(21), Scepters(21), Gloves(33), Melee Weapons(33), Shields(33) | [rare]
Ox | +6-9 to Strength | Amulets(26), Belts(26), Circlets(26), Clubs(26), Hammers(26), Body Armor(38), Maces(38), Rings(38), Scepters(38), Gloves(45), Melee Weapons(45), Shields(45) | [rare]
Giant | +10-15 to Strength | Amulets(42), Belts(42), Circlets(42), Clubs(42), Hammers(42), Body Armor(55), Maces(55), Rings(55), Scepters(55), Gloves(59), Melee Weapons(59) | [rare]
Titan | +16-20 to Strength | Amulets(58), Belts(58), Circlets(58), Clubs(58), Hammers(58), Body Armor(74), Maces(74), Rings(74), Scepters(74) | [rare]
Atlas | +21-30 to Strength | Amulets(71), Belts(71), Circlets(71), Clubs(71), Hammers(71) | [rare]
